Zip_Code,lat,long,Metro,City,Population,Home_Ownership,Renter,Poverty_Black,Poverty_Hispanic,Poverty_White,Black_Insurance_Coverage,Hispanic_Insurance_Coverage,White_Insurance_Coverage,Foreign_Born,Total_Income,Total_Income_Black,Total_Income_Hispanic,Total_Income_White,Population_White,Population_Black,Population_Asian,Population_Other,Housing_Price,HomePriceCat,IncomeBracket,PopDem,PopType,Ethnicity,HousingType,BelowPoverty
92887,33.883223,-117.73856,Los Angeles-Long Beach-Anaheim,Yorba Linda,20143,17167,2745,4056,3397,11688,259,3397,11713,259,6628,110,799,4349,14361,259,3992,424,896916.6667,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,White
92870,33.883314,-117.85446,Los Angeles-Long Beach-Anaheim,Placentia,53642,33509,18934,12918,20775,21301,664,20786,21370,664,16876,216,4951,8624,38805,684,9329,2452,676400,MedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Owners,White
92886,33.888062,-117.80407,Los Angeles-Long Beach-Anaheim,Yorba Linda,50543,40285,9440,9288,8248,30801,554,8271,30878,554,16319,132,1773,11420,37912,554,8972,741,810308.3333,MedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Owners,White
90706,33.888165,-118.1276,Los Angeles-Long Beach-Anaheim,Bellflower,77852,33166,43221,24444,42646,12580,10248,42751,12627,10240,23359,3830,10693,5591,25029,10329,10419,28050,493108.3333,MedianHomePrice,UpperMiddleIncome,Urban,NativeBorn,Other,Renters,Hispa
90260,33.888364,-118.35355,Los Angeles-Long Beach-Anaheim,Lawndale,35614,13945,21117,12560,20660,6065,3415,20699,6065,3400,10635,1161,5138,2740,15962,3440,4113,8633,559300,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Renters,Hispa
90266,33.88898,-118.40535,Los Angeles-Long Beach-Anaheim,Manhattan Beach,35698,25733,9322,4231,3035,26654,204,3054,26678,204,13529,144,981,10876,28486,204,3798,940,2451758.333,AboveMedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,White
92551,33.889035,-117.22046,Riverside-San Bernardino-Ontario,Moreno Valley,33980,21113,12442,9182,20906,3970,6335,21211,3957,6344,8054,1906,4342,1187,11531,6344,1888,13118,284541.6667,BelowMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,Other,Owners,Hispa
92508,33.890313,-117.32122,Riverside-San Bernardino-Ontario,Riverside,39121,31325,7176,6608,13407,16291,3731,13506,16353,3731,10239,999,2658,5216,23405,3735,3830,5835,458983.3333,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,White
90220,33.890566,-118.23666,Los Angeles-Long Beach-Anaheim,Compton,51713,30270,20446,14018,29988,1482,19165,30147,1490,19090,13270,6605,6007,456,18601,19167,457,12061,363016.6667,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,Black,Owners,Hispa
92518,33.891084,-117.2726,0,0,1065,59,842,142,183,715,32,189,715,32,520,11,52,404,902,32,63,25,0,BelowMedianHomePrice,LowIncome,Rural,NativeBorn,White,Renters,White
90247,33.891265,-118.2975,Los Angeles-Long Beach-Anaheim,Gardena,47969,20296,26462,18034,23110,3137,8629,23118,3137,8615,15870,3395,5689,1644,12318,8711,11825,13554,481725,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,Other,Renters,Hispa
90221,33.893265,-118.204,Los Angeles-Long Beach-Anaheim,Compton,54259,27574,25753,18891,41632,530,11327,41812,539,11302,12122,3231,8553,190,24113,11335,449,17085,369808.3333,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Owners,Hispa
90249,33.899265,-118.319,Los Angeles-Long Beach-Anaheim,Gardena,26286,15472,10165,7258,9619,3521,7417,9683,3528,7202,8639,2899,2440,1644,6678,7463,3956,5641,531166.6667,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,Black,Owners,Hispa
90723,33.899915,-118.16231,Los Angeles-Long Beach-Anaheim,Paramount,55020,21525,32544,20361,44729,2611,4920,44753,2615,4882,14339,2054,10513,1028,29717,4983,1761,16087,434183.3333,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Renters,Hispa
90638,33.90213,-118.00966,Los Angeles-Long Beach-Anaheim,La Mirada,49797,36609,9734,11434,20141,15090,1074,20673,16486,1006,14544,286,5248,5821,26669,1137,9516,8927,556400,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
92835,33.903164,-117.91224,Los Angeles-Long Beach-Anaheim,Fullerton,23513,17042,5772,5514,3902,11456,488,3902,11456,488,8429,207,1153,5052,14083,518,6249,1265,784758.3333,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,White
92880,33.903803,-117.60221,Riverside-San Bernardino-Ontario,Eastvale,68915,49168,18822,19562,28960,16082,5227,29013,16089,5148,17667,1586,6092,5416,32945,5227,16358,9827,532958.3333,MedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Owners,Hispa
92241,33.904371,-116.38634,Riverside-San Bernardino-Ontario,Desert Hot Springs,7936,5990,1835,1907,3380,4237,209,3383,4238,209,3488,23,950,2430,6599,209,67,888,197733.3333,BelowMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,White
90650,33.906914,-118.08339,Los Angeles-Long Beach-Anaheim,Norwalk,106404,65796,37107,37334,74335,11033,4057,74565,11056,4057,27238,1276,16923,4327,51775,4279,14477,31879,453941.6667,BelowMedianHomePrice,UpperMiddleIncome,Urban,NativeBorn,White,Owners,Hispa
90222,33.910716,-118.23624,Los Angeles-Long Beach-Anaheim,Compton,32585,15984,15885,9805,22672,291,8859,22781,291,8730,7820,3121,4469,59,13525,8884,260,9168,342050,BelowMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
92230,33.911404,-116.76834,0,0,3962,1719,2106,420,2220,1304,66,2220,1326,66,984,11,413,428,2742,74,0,456,0,BelowMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Renters,Hispa
92503,33.91355,-117.46052,Riverside-San Bernardino-Ontario,Riverside,94523,58028,34115,26805,56979,24683,3449,57108,24691,3449,25088,1299,12072,9296,53707,3497,7397,24740,360358.3333,BelowMedianHomePrice,UpperMiddleIncome,Urban,NativeBorn,White,Owners,Hispa
90250,33.914614,-118.35092,Los Angeles-Long Beach-Anaheim,Hawthorne,97371,32470,62631,34110,53302,10099,21488,53405,10072,21443,32242,9476,14220,4468,32811,21605,7358,25495,576891.6667,MedianHomePrice,UpperIncome,Urban,NativeBorn,White,Renters,Hispa
92823,33.918965,-117.83252,Los Angeles-Long Beach-Anaheim,Brea,4104,3578,491,1005,899,1054,59,899,1054,59,1243,0,240,424,1789,59,1845,74,780133.3333,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,Asian,Owners,White
90242,33.92018,-118.14291,Los Angeles-Long Beach-Anaheim,Downey,42922,23386,18672,14032,30791,5130,2302,30973,5138,2302,12101,825,7853,2273,23945,2328,3457,11611,497216.6667,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
92220,33.920803,-116.87897,Riverside-San Bernardino-Ontario,Banning,33016,17103,14207,5537,13207,12361,2863,13226,12361,2854,11640,927,3314,6505,22618,3027,1895,2932,225908.3333,BelowMedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
90245,33.921313,-118.40843,Los Angeles-Long Beach-Anaheim,El Segundo,16929,8295,8302,2502,3011,10920,296,3016,10916,294,6638,82,971,4672,12844,296,1530,717,1246200,AboveMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Renters,White
92258,33.921502,-116.56703,0,0,685,479,86,180,446,195,44,446,195,41,229,33,135,61,471,44,0,165,0,BelowMedianHomePrice,LowIncome,Rural,NativeBorn,White,Owners,Hispa
92505,33.921765,-117.48812,Riverside-San Bernardino-Ontario,Riverside,50110,25902,22403,14268,29972,11409,2480,30428,11539,2432,13334,962,6583,4407,30830,2489,4070,9412,362250,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Owners,Hispa
92555,33.922823,-117.16837,Riverside-San Bernardino-Ontario,Moreno Valley,43436,31426,11275,9814,21342,8949,7814,21406,8954,7794,10699,2300,4328,3010,17758,7819,4166,11306,347508.3333,BelowMedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
92553,33.923243,-117.24211,Riverside-San Bernardino-Ontario,Moreno Valley,74918,35983,37236,20202,49295,8510,12032,49417,8591,12012,18304,3653,10430,2938,27608,12039,3683,29225,271983.3333,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,Other,Renters,Hispa
90061,33.923365,-118.27591,Los Angeles-Long Beach-Anaheim,Los Angeles,28003,11479,15725,8329,18095,174,9079,18181,174,8978,7307,3414,3716,32,10305,9105,79,7795,362641.6667,BelowMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Renters,Hispa
92821,33.923463,-117.89559,Los Angeles-Long Beach-Anaheim,Brea,37840,22901,14250,7236,11237,17718,615,11267,17718,615,13879,225,3209,7669,26249,615,7166,1741,690458.3333,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,White
90262,33.924642,-118.20186,Los Angeles-Long Beach-Anaheim,Lynwood,71306,31014,36496,27330,61670,893,5233,61811,893,5233,15327,1702,13026,295,41003,5859,757,21865,399300,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Renters,Hispa
92860,33.925885,-117.55978,Riverside-San Bernardino-Ontario,Norco,26613,19186,4266,3507,7579,14458,337,7594,14428,326,7019,74,1645,4932,20427,1079,1058,2572,497783.3333,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,White
92504,33.926315,-117.40937,Riverside-San Bernardino-Ontario,Riverside,57955,33479,21646,11517,30146,18759,3473,30724,19599,3338,16411,1157,6955,7256,39810,3512,2728,8716,336783.3333,BelowMedianHomePrice,MiddleIncome,Urban,NativeBorn,White,Owners,Hispa
90059,33.927471,-118.24778,Los Angeles-Long Beach-Anaheim,Los Angeles,47351,21982,23975,13282,31441,356,14644,31741,350,14490,10590,4533,5826,102,17291,14700,279,13977,334091.6667,BelowMedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Renters,Hispa
90604,33.929163,-118.009,Los Angeles-Long Beach-Anaheim,Whittier,41369,26754,14068,9035,28201,9458,338,28331,9489,314,12113,92,7143,3839,22531,340,2339,14183,527916.6667,MedianHomePrice,MiddleIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
90670,33.933551,-118.06821,Los Angeles-Long Beach-Anaheim,Santa Fe Springs,16642,11593,4665,4356,13136,1619,685,13135,1619,685,4793,191,3478,689,8928,704,845,5240,465550,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
90303,33.934164,-118.33255,Los Angeles-Long Beach-Anaheim,Inglewood,24658,9569,14662,7531,14795,595,8570,14864,595,8564,7231,3327,3425,226,6403,8570,294,8473,508833.3333,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,Black,Renters,Hispa
90631,33.934513,-117.95159,Los Angeles-Long Beach-Anaheim,La Habra,69579,40669,27471,19109,38618,19811,728,38961,19822,742,21416,333,9353,8726,42318,752,8829,14297,587291.6667,MedianHomePrice,UpperMiddleIncome,Urban,NativeBorn,White,Owners,Hispa
90304,33.936163,-118.36076,Los Angeles-Long Beach-Anaheim,Inglewood,25937,8596,16929,11648,23672,573,865,23690,573,865,6443,284,5698,224,11587,876,702,11939,442058.3333,BelowMedianHomePrice,LowIncome,Semi-Urban,NativeBorn,Other,Renters,Hispa
90603,33.941363,-117.99477,Los Angeles-Long Beach-Anaheim,Whittier,20697,16434,3799,2589,11042,7881,235,11080,7888,235,6682,46,2931,3158,13785,252,1020,4646,572316.6667,MedianHomePrice,LowIncome,Semi-Urban,NativeBorn,White,Owners,Hispa
